date,OT
2015/1/1 0:00,62
2015/1/1 0:05,61
2015/1/1 0:10,71
2015/1/1 0:15,86
2015/1/1 0:20,103
2015/1/1 0:25,114
2015/1/1 0:30,127
2015/1/1 0:35,144
2015/1/1 0:40,140
2015/1/1 0:45,164
2015/1/1 0:50,143
2015/1/1 0:55,142
2015/1/1 1:00,145
2015/1/1 1:05,162
2015/1/1 1:10,126
2015/1/1 1:15,135
2015/1/1 1:20,138
2015/1/1 1:25,114
2015/1/1 1:30,156
2015/1/1 1:35,81
2015/1/1 1:40,128
2015/1/1 1:45,104
2015/1/1 1:50,111
2015/1/1 1:55,116
2015/1/1 2:00,96
2015/1/1 2:05,92
2015/1/1 2:10,89
2015/1/1 2:15,103
2015/1/1 2:20,108
2015/1/1 2:25,89
2015/1/1 2:30,89
2015/1/1 2:35,87
2015/1/1 2:40,88
2015/1/1 2:45,80
2015/1/1 2:50,78
2015/1/1 2:55,88
2015/1/1 3:00,85
2015/1/1 3:05,70
2015/1/1 3:10,56
2015/1/1 3:15,83
2015/1/1 3:20,60
2015/1/1 3:25,62
2015/1/1 3:30,67
2015/1/1 3:35,72
2015/1/1 3:40,59
2015/1/1 3:45,75
2015/1/1 3:50,66
2015/1/1 3:55,60
2015/1/1 4:00,54
2015/1/1 4:05,36
2015/1/1 4:10,53
2015/1/1 4:15,54
2015/1/1 4:20,58
2015/1/1 4:25,51
2015/1/1 4:30,45
2015/1/1 4:35,70
2015/1/1 4:40,55
2015/1/1 4:45,66
2015/1/1 4:50,54
2015/1/1 4:55,58
2015/1/1 5:00,50
2015/1/1 5:05,42
2015/1/1 5:10,56
2015/1/1 5:15,48
2015/1/1 5:20,68
2015/1/1 5:25,47
2015/1/1 5:30,51
2015/1/1 5:35,55
2015/1/1 5:40,67
2015/1/1 5:45,77
2015/1/1 5:50,67
2015/1/1 5:55,51
2015/1/1 6:00,59
2015/1/1 6:05,57
2015/1/1 6:10,84
2015/1/1 6:15,77
2015/1/1 6:20,79
2015/1/1 6:25,85
2015/1/1 6:30,83
2015/1/1 6:35,80
2015/1/1 6:40,114
2015/1/1 6:45,109
2015/1/1 6:50,104
2015/1/1 6:55,90
2015/1/1 7:00,67
2015/1/1 7:05,72
2015/1/1 7:10,75
2015/1/1 7:15,76
2015/1/1 7:20,67
2015/1/1 7:25,70
2015/1/1 7:30,80
2015/1/1 7:35,91
2015/1/1 7:40,88
2015/1/1 7:45,109
2015/1/1 7:50,74
2015/1/1 7:55,93
2015/1/1 8:00,104
2015/1/1 8:05,96
2015/1/1 8:10,83
2015/1/1 8:15,95
2015/1/1 8:20,84
2015/1/1 8:25,91
2015/1/1 8:30,116
2015/1/1 8:35,110
2015/1/1 8:40,129
2015/1/1 8:45,104
2015/1/1 8:50,133
2015/1/1 8:55,123
2015/1/1 9:00,120
2015/1/1 9:05,123
2015/1/1 9:10,124
2015/1/1 9:15,137
2015/1/1 9:20,146
2015/1/1 9:25,137
2015/1/1 9:30,160
2015/1/1 9:35,167
2015/1/1 9:40,173
2015/1/1 9:45,208
2015/1/1 9:50,193
2015/1/1 9:55,172
2015/1/1 10:00,164
2015/1/1 10:05,172
2015/1/1 10:10,198
2015/1/1 10:15,212
2015/1/1 10:20,182
2015/1/1 10:25,183
2015/1/1 10:30,193
2015/1/1 10:35,216
2015/1/1 10:40,222
2015/1/1 10:45,246
2015/1/1 10:50,224
2015/1/1 10:55,226
2015/1/1 11:00,254
2015/1/1 11:05,250
2015/1/1 11:10,217
2015/1/1 11:15,248
2015/1/1 11:20,219
2015/1/1 11:25,245
2015/1/1 11:30,245
2015/1/1 11:35,235
2015/1/1 11:40,272
2015/1/1 11:45,299
2015/1/1 11:50,257
2015/1/1 11:55,259
2015/1/1 12:00,246
2015/1/1 12:05,245
2015/1/1 12:10,260
2015/1/1 12:15,249
2015/1/1 12:20,289
2015/1/1 12:25,309
2015/1/1 12:30,297
2015/1/1 12:35,251
2015/1/1 12:40,313
2015/1/1 12:45,335
2015/1/1 12:50,267
2015/1/1 12:55,319
2015/1/1 13:00,331
2015/1/1 13:05,306
